7220,098	62,037
7221,098	61,851
7222,099	62,185
7223,099	62,148
7224,099	62,445
7225,100	61,702
7226,100	61,739
7227,100	62,705
7228,100	61,925
7229,100	62,482
7230,101	62,148
7231,102	62,482
7232,102	61,777
7233,102	62,482
7234,103	61,999
7235,103	61,777
7236,103	62,259
7237,104	61,851
7238,105	61,888
7239,105	62,556
7240,106	62,519
7241,106	62,222
7242,107	62,594
7243,107	62,482
7244,108	61,665
7245,108	61,962
7246,109	61,925
7247,109	61,702
7248,109	61,628
7249,109	61,851
7250,110	61,814
7251,110	61,925
7252,110	61,851
7253,110	61,851
7254,110	61,480
7255,110	62,371
7256,110	61,739
7257,111	62,074
7258,111	61,517
7259,111	61,368
7260,111	61,851
7261,112	61,480
7262,113	61,628
7263,113	61,739
7264,113	61,925
7265,114	61,480
7266,114	61,925
7267,115	59,324
7268,115	28,886
7269,116	25,148
7270,116	38,099
7271,116	40,173
7272,116	38,212
7273,117	35,642
7274,118	34,544
7275,118	33,483
7276,118	33,597
7277,119	33,559
7278,119	32,763
7279,119	33,294
7280,120	32,838
7281,120	32,876
7282,120	32,990
7283,120	33,294
7284,121	33,180
7285,121	33,028
7286,122	33,369
7287,122	33,900
7288,123	33,256
7289,123	33,331
7290,123	33,066
7291,123	33,028
7292,123	33,331
7293,123	33,331
7294,123	33,180
7295,123	33,294
7296,124	33,294
7297,125	33,066
7298,126	33,180
7299,127	33,180
7300,128	33,294
7301,129	33,748
7302,129	33,483
7303,130	33,559
7304,131	33,369
7305,131	32,914
7306,131	32,990
7307,132	33,331
7308,132	33,104
7309,132	33,521
7310,132	33,331
7311,132	33,559
7312,132	32,914
7313,133	32,990
7314,133	33,483
7315,133	33,104
7316,134	32,763
7317,134	33,597
7318,135	33,673
7319,136	32,990
7320,136	33,180
